,english_premise,english_hypothesis,english_label
246,"The Ile Saint-Louis is an enchanted self-contained island of gracious living, long popular with the more affluent gentry and celebrities of Paris.",The Ile Saint-Louis is adored by the poor in Paris.,2
247,Kentucky officials say there is a virtual epidemic of abusive relationships in the state.,Kentucky marriages tend to be the healthiest.,2
248,and uh it that takes so much time away from your kids,Takes you away from your kids because it is more important to you.,1
249,"Even if you're the kind of traveler who likes to improvise and be adventurous, don't turn your nose up at the tourist offices.",Tourist officers are a good place to visit even if you're an adventurous tourist.,0
250,He walked out into the street and I followed.,I followed him as he walked.,0
251,"Steps are initiated to allow program board membership to reflect the clienteligible community and include representatives from the funding community, corporations and other partners.",There isn't a fair representation of board members on the program.,2
252,"Also, the Holy Family are said to have sheltered here on their return from Egypt.",The Holy family spent a total of three days here.,1
253,Complacency came easily after a couple of weeks without capture.,We got complacent after not getting captured for weeks.,0
254,In the other sight he saw Adrin's hands cocking back a pair of dragon-hammered pistols.,He had spotted Adrin preparing to fire his pistols.,1
255,"There is very little to see here, or at the ruined Essene monastery of Qumran itself.","Most visitors skip this city, or only stay here a night while passing through.",1
256,Enthusiasm for Disney's Broadway production of The Lion King dwindles.,Audiences for The Lion King on broadway are still turning out in record numbers.,2
257,Fixing current levels of damage would be impossible.,The damage could never be fixed by an artisan.,1
258,Allow time in Thirasia to explore Santorini's smaller sibling islands.,Allow time in Thirasia to visit the famous Guy Fieri restaurant.,2
259,He had forgotten about Adrin.,He had forgotten that Adrin was going to join them.,1
260,The entire city was surrounded by open countryside with a scattering of small villages.,The whole countryside is scattered with small villages. ,0
261,couple of years ago i was thinking about moving to Massachusetts but uh boy i'm glad i didn't,I have never considered moving to Massachusetts.,2
262,That's what guarantees that people will keep buying tickets as long as the odds are in their favor.,"People will continually purchase tickets, as long as they have a good chance of winning. ",0
263,You will find a number of Mary's personal effects on display.,"On display, you can also find John's personal effects.",1
264,more of a football powerhouse up there i guess,He's terrible at football there.,2
265,yeah yeah if they do come up with a positive regardless of what uh what it was they detected uh we're required to go attend a uh a counseling session,We still have three more weeks of counseling left even if everything seems positive. ,1
266,yeah i mean this this Escort even when the head gasket went i mean it would start first time every time,"Once the head gasket went out, the Escort stopped working.",2
267,"As Jon looked at him, Barnam puffed out his chest.",Barnam puffed out his chest when Jon looked at him.,0
268,"Possibly, but strychnine is a fairly rapid drug in its action. ",Strychnine  is a drug that works very quickly. ,0
269,The main attraction of Kom Ombo is the vibrant color still found on the columns in the Hypostyle Hall.,"The Hypostyle Hall is the main sight to see at Kom Ombo, featuring striking colors which are preserved with a chemical agent.",1
270,yeah TI people yeah and so i just figured no it's just this area you know,"No, I figured is was all areas.",2
271,Scutari is traditionally associated with the name of Florence Nightingale.,Scutari was linked with Florence Nightingale posthumously.,1
272,Castlerigg near Keswick is the best example.,"The best example would be Castlerigg, which is near Keswick.",0
273,The idea that Clinton's approval represents something new and immoral in the country is historically shortsighted.,It's shortsighted to think that Clinton's approval rating is a sign of the nation's immorality.,0
